danceability,energy,loudness,tempo,valence,cluster,PCA1,PCA2
0.348,0.924,-4.735,75.011,0.214,0,0.028574475503807092,-1.1344459676623662
0.572,0.695,-6.231,111.461,0.807,1,0.9389574313680938,0.48694714551877294
0.423,0.468,-11.395,161.328,0.178,0,-1.5970127880990284,-1.080548235744138
0.467,0.529,-8.825,87.949,0.177,0,-1.161109030804597,-0.09205122009510486
0.491,0.556,-6.023,100.008,0.413,1,-0.2487313460913574,-0.05700454001167384
0.518,0.291,-15.711,108.448,0.25,0,-2.3033558191530825,0.7708715784627458
0.644,0.848,-5.385,162.151,0.928,1,1.8647269653824803,-0.17655587344810103
0.556,0.622,-9.179,119.995,0.177,0,-0.7324999416204511,-0.4324797318143069
0.2,0.166,-16.184,84.683,0.116,0,-3.6587644569268924,0.14889061707701443
0.513,0.988,-3.453,144.965,0.375,1,1.1274603757348787,-1.6307195917150792
0.52,0.935,-6.341,117.515,0.0729,0,0.07267440619622204,-1.3939487593633582
0.573,0.7,-6.661,87.508,0.317,1,-0.005705202481651266,0.0518689087946069
0.58,0.636,-6.649,105.037,0.38,1,0.008792889521812314,0.008390111850586548
0.593,0.823,-4.289,132.697,0.953,1,1.8219482111294563,0.12160880016042042
0.187,0.0367,-24.026,92.19,0.037,0,-5.114585877523557,0.6549362276706496
0.333,0.959,-4.348,137.052,0.242,0,0.2842066249928109,-2.1850507572229967
0.728,0.944,-5.299,105.017,0.473,1,1.3858393739780515,0.04245313938010176
0.267,0.157,-19.348,103.273,0.06,0,-3.9959096365773106,0.22771264679174788
0.904,0.817,-3.956,101.988,0.753,1,2.1613816106954546,1.218113113687966
0.532,0.842,-6.152,126.042,0.715,1,1.0556025159874496,-0.2608967277591495
0.805,0.583,-7.009,144.011,0.576,1,0.7749161037823862,0.5519779324795165
0.513,0.906,-3.673,173.0,0.73,1,1.5865335632092847,-1.315558324328727
0.653,0.964,-4.261,126.928,0.87,1,2.1279501012782074,0.03307774374795137
0.67,0.706,-6.371,165.995,0.829,1,1.3087293555469504,-0.02479230889615122
0.47,0.941,-3.242,106.974,0.696,1,1.44355537403106,-0.567525882311812
0.685,0.909,-4.034,95.004,0.922,1,2.1396277777217003,0.7892754357972257
0.808,0.587,-10.522,92.046,0.791,1,0.623347038870109,1.9978895980235574
0.699,0.299,-12.599,118.969,0.459,0,-1.0826882388105326,1.2825556454761042
0.118,0.627,-7.689,187.497,0.487,0,-0.8733457946501216,-2.449327537833554
0.666,0.828,-5.896,97.992,0.69,1,1.271014660101262,0.5563500620640389
0.489,0.929,-5.566,92.816,0.59,1,0.9500702135261645,-0.27314610789292626
0.545,0.844,-6.648,160.115,0.683,1,1.031685491189977,-0.7712453293412129
0.798,0.625,-6.83,92.994,0.774,1,1.13263068080998,1.582926992826308
0.199,0.149,-18.329,83.489,0.0681,0,-4.061365381546959,0.2720380628605203
0.21,0.943,-7.656,164.844,0.13,0,-0.6068351183705197,-2.9188787554585054
0.388,0.708,-7.456,105.823,0.655,1,0.11024476760941296,-0.18914702328316935
0.565,0.403,-12.425,109.62,0.48,0,-1.1129488551397246,0.8664519002628338
0.604,0.98,-2.42,120.095,0.518,1,1.6577586847195627,-0.7795225244427917
0.652,0.583,-7.811,138.134,0.744,1,0.6035799760256225,0.5113305345741659
0.424,0.079,-16.861,167.449,0.155,0,-3.2094230095443135,-0.1831904581758405
0.513,0.906,-3.673,173.0,0.73,1,1.5865335632092847,-1.315558324328727
0.452,0.703,-6.523,172.039,0.813,1,0.7628693710123016,-0.813475682654676
0.772,0.809,-3.994,97.407,0.654,1,1.652164104151484,0.7222412217019782
0.583,0.269,-9.519,180.214,0.366,0,-1.0753310185144498,-0.3801541016185229
0.602,0.573,-7.388,174.048,0.319,0,-0.1610963202562376,-0.9465203284457097
0.685,0.909,-4.034,95.004,0.922,1,2.1396277777217003,0.7892754357972257
0.876,0.498,-7.511,122.016,0.428,1,0.38163326098305256,1.0370963999761622
0.575,0.306,-10.536,82.011,0.338,0,-1.3665717550268435,1.095805788902188
0.714,0.393,-10.157,67.589,0.72,1,-0.15565196775133874,2.2419811014094586
0.458,0.0987,-16.021,139.987,0.349,0,-2.687526672505597,0.5875789652700735
0.488,0.713,-5.085,97.592,0.424,1,0.2363091323145215,-0.3291369381178109
0.383,0.635,-6.331,95.112,0.4,0,-0.38939228431742,-0.442972069612532
